,p
1_44,"Addressing the last mile challenge of enrollment, including disparities at local levels and catering to the special needs of children with disabilities will require innovative and cost effective strategies in the delivery of education."
1_45,"Relevance and Quality of Education: In spite of the significant progress made with regard to providing access to education, the quality of education is an issue of growing concern to parents and policy makers"
1_46,"Judging solely by improvements in efficiency indicators such as drop-out rates, repetition rates, completion rates and survival rates, the quality of education has certainly improved over the years, although some of these rates, such as repetition and dropout rates in class IV and VII, are still undesirably high and need further improvement."
1_47,"However, what remains of great concern is that an increasing numbers of our students, including graduates from vocational and tertiary institutions, are inadequately prepared to enter the workforce"
1_40,"According to the Survey, the adjusted Net Primary Attendance Ratio (NAR) for 2010 indicates that Punakha, Chukha, Mongar, Lhuentse, Wangdue and Gasa are the six Dzongkhags that have the lowest adjusted NAR, significantly below the national average of 91.9 percent"
1_41,"Similarly, the Gender Parity Index (GPI) reveals that Pemagatshel, Trongsa, Haa, Punakha and Mongar have a variance in their GPI scores by more than 0.03 from 1.0, indicating that some inequity exists in terms of gender participation"
1_42,"In all of these five Dzongkhags, the participation level of girls in primary education significantly exceeds that of boys"
1_43,"However, these ratios change in favor of male children as students move to higher classes mainly due to higher drop-out rates among female students."
7_146,"For ensuring mineral development, the Department will further strengthen both technical and human capacity of the government and private sector"
7_147,Scientific mining will be ensured through improvement of the regulatory framework and strengthening its implementation.
5_68,National Organic
7_145,The department will prioritize the target areas for mineral investigation and construction materials study
1_48,"On the other hand Bhutan continues to face an acute shortage of skilled and highly specialized manpower such as doctors, engineers, ICT experts and teachers"
1_49,This has resulted in a paradoxical situation of relatively high levels of youth unemployment and a critical skills shortage at the same time
7_140,5
7_141,Enhance employment and develop a culture of entrepreneurship
5_66,Some of the major programmes are as follows:
5_67,National field crops developmentAgriculture infrastructure development
5_64,"Wherever applicable, best practices gained from the Hazel nut and Coffee plantation ventures will be used to attract private investment in the RNR sector."
5_65,5.5.5  Key programmes
2_89,5.2.5  Key Programmes
2_88,"Hence, rationalization of health infrastructure through use of health facility screening tool and consolidation of health infrastructure will be pursued."
5_60,Linkages between research and extension services will be strengthened and streamlined to improve the productivity of farming systems.
5_61,"Promote private sector participation and contract farming: Government will facilitate an enabling environment for private sector participation and contract farming to enhance market access, innovations and technical expertise"
2_85,ICT technology shall also be leveraged to replace some of the paper based system to provide better and faster services and save cost.
2_84,Usage of ICT enabled healthcare solutions such as telemedicine shall be enhanced.
2_87,"Also, some of the existing facilities are underutilized while others over burdened"
2_86,"Consolidation of health infrastructure - The production of health human resource has not kept pace with the expansion of health infrastructure and, therefore, there is a huge mismatch between the health human resources and the number of health infrastructure, affecting the quality of health services"
2_81,The development of an integrated health information system shall be centralized to ensure the eHealth standardization and interoperability of the system
2_80,"In addition, measures such as enhancing effectiveness and improving efficiency, and other alternative options to maintain constitutional commitment to provide free health care services and also to achieve UHC will be explored. Standardization of eHealth and interoperability -Recognizing that lack of data within and between systems hinders care and leads to fragmentation of the health information system, it is vital to develop measures for effective and timely transmission of data"
2_83,"Needs assessment for eHealth, inclusive of developing national policies, strategies, norms and appropriate governance mechanisms, and long term strategic plans or frameworks for eHealth, shall be conducted"
2_82,Interoperability is essential in garnering full potential of ICT and medical devices towards supporting health system development
12_27,"About 127 Bhutanese contractors, in various categories, are engaged in the construction of three ongoing hydropower projects"
12_26,4 million) contractors
12_25,"4-15 million) and 3,392 small (under Nu"
12_24,"15 million), 380 medium (Nu"
12_23,"Currently there are about 3,892 registered contractors, of which 120 are large (above Nu"
7_148,"Geo-scientific Studies and Risk Assessment of Geo-hazards: Bhutan is highly vulnerable to all forms of geo-hazards such as GLOFs, earthquake, landslides and flash floods owing to the fragile geology, active tectonics and climate change"
12_21,"In terms of employment less than 5,00049 Bhutanese were employed by the construction sector in 2012."
10_51,"Further, the legal and policy instruments will be reviewed and strengthened."
5_69,National horticulture development
7_149,Comprehensive geo-scientific studies and geo-hazard risk assessment is needed to address the threat posed by these geo-hazards
17_111,Programme details are presented in Eleventh Plan Volume II document.
